perturbation_gene	Gene	PValue	padj	logFC	logCPM	LR	cell type	perturbation	perturbation_gene_idx	Gene_raw	_Gene_resolution
Foxg1	Insm1	0.000927911	0.036349005	2.357219275	4.473271493	10.96615545	Excit_L6CT_CTX	Foxg1_1	1	Insm1	passed_through
Foxg1	Nnat	4.81E-09	1.39E-06	-0.741036178	7.518411554	34.26541803	Excit_L6CT_CTX	Foxg1_1	1	Nnat	passed_through
Foxg1	Vstm2l	4.93E-37	6.15E-33	2.991807459	7.268806064	161.6496375	Excit_L6CT_CTX	Foxg1_1	1	Vstm2l	passed_through
Foxg1	Sulf2	3.50E-06	0.000457178	-1.133453895	6.396030036	21.51847246	Excit_L6CT_CTX	Foxg1_1	1	Sulf2	passed_through
Foxg1	Tshz2	9.16E-06	0.001019057	2.472443272	4.975950749	19.678578	Excit_L6CT_CTX	Foxg1_1	1	Tshz2	passed_through
Foxg1	Hrh3	1.32E-06	0.000199913	6.346809774	3.981312091	23.39975312	Excit_L6CT_CTX	Foxg1_1	1	Hrh3	passed_through
Foxg1	Tpd52	1.11E-05	0.001172114	0.791908854	6.919333042	19.31160402	Excit_L6CT_CTX	Foxg1_1	1	Tpd52	passed_through
Foxg1	Bhlhe22	2.11E-12	1.25E-09	2.38234667	6.234363629	49.38341039	Excit_L6CT_CTX	Foxg1_1	1	Bhlhe22	passed_through
Foxg1	Egfem1	8.10E-10	3.05E-07	-1.904931315	6.055825535	37.73642433	Excit_L6CT_CTX	Foxg1_1	1	Egfem1	passed_through
Foxg1	Anxa5	2.48E-06	0.00033548	-1.91138483	5.696577426	22.18372413	Excit_L6CT_CTX	Foxg1_1	1	Anxa5	passed_through
Foxg1	Spry1	4.52E-09	1.34E-06	5.060081651	4.662240826	34.38598794	Excit_L6CT_CTX	Foxg1_1	1	Spry1	passed_through
Foxg1	Fat4	2.02E-06	0.000288909	2.264551568	5.29751732	22.57806993	Excit_L6CT_CTX	Foxg1_1	1	Fat4	passed_through
Foxg1	Maml3	0.001003342	0.038613908	-1.400322281	5.688892688	10.82138833	Excit_L6CT_CTX	Foxg1_1	1	Maml3	passed_through
Foxg1	Arhgef26	9.61E-08	2.03E-05	1.820937178	6.137773144	28.45077414	Excit_L6CT_CTX	Foxg1_1	1	Arhgef26	passed_through
Foxg1	Sfrp2	0.000429306	0.021054572	4.021477275	3.951109888	12.40012241	Excit_L6CT_CTX	Foxg1_1	1	Sfrp2	passed_through
Foxg1	S100a11	0.000866082	0.03435917	-1.314889402	5.642117793	11.09398514	Excit_L6CT_CTX	Foxg1_1	1	S100a11	passed_through
Foxg1	S100a10	2.33E-06	0.000329682	-0.753870649	7.13263179	22.30254701	Excit_L6CT_CTX	Foxg1_1	1	S100a10	passed_through
Foxg1	Phgdh	0.001145855	0.042993732	-7.033725985	3.084006691	10.57567332	Excit_L6CT_CTX	Foxg1_1	1	Phgdh	passed_through
Foxg1	Ptgfrn	0.000174005	0.010677718	2.085309283	4.853455988	14.0928419	Excit_L6CT_CTX	Foxg1_1	1	Ptgfrn	passed_through
Foxg1	Syt6	0.000222449	0.012948822	-0.543830813	7.327453405	13.63127245	Excit_L6CT_CTX	Foxg1_1	1	Syt6	passed_through
Foxg1	Snx7	8.33E-10	3.05E-07	2.536909869	6.111974128	37.68082721	Excit_L6CT_CTX	Foxg1_1	1	Snx7	passed_through
Foxg1	6530403H02Rik	0.000494023	0.023222814	1.386970897	5.572819556	12.13809138	Excit_L6CT_CTX	Foxg1_1	1	6530403H02Rik	passed_through
Foxg1	Ndst3	7.53E-06	0.000861097	1.703501771	5.879836578	20.05245318	Excit_L6CT_CTX	Foxg1_1	1	Ndst3	passed_through
Foxg1	Lmo4	0.001175325	0.043704557	-0.625043762	6.991050817	10.52873671	Excit_L6CT_CTX	Foxg1_1	1	Lmo4	passed_through
Foxg1	Tox	5.12E-05	0.004087169	1.05080079	6.901695456	16.40374705	Excit_L6CT_CTX	Foxg1_1	1	Tox	passed_through
Foxg1	Runx1t1	1.86E-06	0.000269502	-0.53910994	7.468756776	22.73388813	Excit_L6CT_CTX	Foxg1_1	1	Runx1t1	passed_through
Foxg1	Nkain3	1.47E-08	3.98E-06	1.161681566	6.888026772	32.09424404	Excit_L6CT_CTX	Foxg1_1	1	Nkain3	passed_through
Foxg1	Cnr1	2.33E-16	2.64E-13	1.280506141	7.240869663	67.29814694	Excit_L6CT_CTX	Foxg1_1	1	Cnr1	passed_through
Foxg1	Lingo2	1.43E-13	1.11E-10	1.555448616	7.34869847	54.65942299	Excit_L6CT_CTX	Foxg1_1	1	Lingo2	passed_through
Foxg1	Grin3a	0.000522097	0.02426778	-1.306548544	5.718054317	12.03503971	Excit_L6CT_CTX	Foxg1_1	1	Grin3a	passed_through
Foxg1	Lrp8os3	0.001365546	0.049021932	5.038943604	2.806795221	10.25175494	Excit_L6CT_CTX	Foxg1_1	1	Lrp8os3	passed_through
Foxg1	Echdc2	5.09E-07	8.83E-05	-2.597371324	5.512051541	25.22914607	Excit_L6CT_CTX	Foxg1_1	1	Echdc2	passed_through
Foxg1	Bend5	1.50E-09	4.90E-07	2.584248854	5.531928148	36.53985826	Excit_L6CT_CTX	Foxg1_1	1	Bend5	passed_through
Foxg1	Armh1	0.00028105	0.015629614	-10.20461505	2.910908148	13.192648	Excit_L6CT_CTX	Foxg1_1	1	Armh1	passed_through
Foxg1	Ncdn	0.000226773	0.013078296	0.411636029	7.715943159	13.59513014	Excit_L6CT_CTX	Foxg1_1	1	Ncdn	passed_through
Foxg1	Csmd2	1.48E-09	4.90E-07	-1.136904248	6.878712083	36.55479028	Excit_L6CT_CTX	Foxg1_1	1	Csmd2	passed_through
Foxg1	Trim62	1.11E-06	0.000175816	1.894786177	5.554836319	23.71860375	Excit_L6CT_CTX	Foxg1_1	1	Trim62	passed_through
Foxg1	Igsf21	1.25E-05	0.001282221	-0.400102558	7.789743274	19.0922842	Excit_L6CT_CTX	Foxg1_1	1	Igsf21	passed_through
Foxg1	Spsb1	2.47E-06	0.00033548	-1.928364633	5.699418032	22.19320225	Excit_L6CT_CTX	Foxg1_1	1	Spsb1	passed_through
Foxg1	Cdk14	1.87E-07	3.64E-05	1.093605193	6.647133535	27.16517715	Excit_L6CT_CTX	Foxg1_1	1	Cdk14	passed_through
Foxg1	Sema3e	0.000136266	0.008981317	-1.974180715	5.239232141	14.55307234	Excit_L6CT_CTX	Foxg1_1	1	Sema3e	passed_through
Foxg1	Lhfpl3	0.000330779	0.017313068	0.852668503	6.491033266	12.88752994	Excit_L6CT_CTX	Foxg1_1	1	Lhfpl3	passed_through
Foxg1	Smarcd3	8.99E-05	0.006510278	-0.403183062	7.47592347	15.33798755	Excit_L6CT_CTX	Foxg1_1	1	Smarcd3	passed_through
Foxg1	Afap1	0.000137142	0.008991472	1.504744821	5.679778599	14.54100064	Excit_L6CT_CTX	Foxg1_1	1	Afap1	passed_through
Foxg1	Ldb2	4.97E-07	8.83E-05	0.50981052	7.662596549	25.2737031	Excit_L6CT_CTX	Foxg1_1	1	Ldb2	passed_through
Foxg1	Lcorl	0.00038161	0.01924579	0.893947091	6.482746012	12.62015569	Excit_L6CT_CTX	Foxg1_1	1	Lcorl	passed_through
Foxg1	Slit2	2.54E-12	1.44E-09	3.508597936	5.685642739	49.01418917	Excit_L6CT_CTX	Foxg1_1	1	Slit2	passed_through
Foxg1	Lgi2	0.000245382	0.014086261	-0.717055765	6.800356674	13.44712742	Excit_L6CT_CTX	Foxg1_1	1	Lgi2	passed_through
